event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench,team
30,49,1666,4003215,4012711,5166992,40,36,1017,0,0,10,Röhl With It
31,47,1713,1618823,1623291,4962345,15,36,1020,0,0,7,Röhl With It
32,38,1751,9407206,9409736,5213685,85,36,1018,0,0,12,Röhl With It
33,73,1824,1706368,1709930,4988103,15,36,1017,0,0,11,Röhl With It
34,42,1866,6381858,6386574,5063682,60,36,1018,0,0,0,Röhl With It
35,31,1897,9545548,9549950,5199093,85,36,1017,0,0,6,Röhl With It
36,73,1970,160780,161206,4813965,5,36,1020,0,0,6,Röhl With It
37,41,2011,4826125,4834075,4802319,45,36,1021,0,0,11,Röhl With It
38,50,2061,4202128,4208532,4786720,40,36,1022,0,0,8,Röhl With It
1,45,45,7097616,7109680,7097616,85,0,1000,0,0,3,Who ate Depays
2,82,119,2121556,2122040,5604317,25,4,999,3,8,5,Who ate Depays
3,61,180,6160940,6166900,5499544,65,4,999,0,0,3,Who ate Depays
4,54,234,4323689,4331108,5123076,45,2,1000,1,0,9,Who ate Depays
5,54,288,6569278,6572234,5388524,65,6,1002,2,0,3,Who ate Depays
6,60,348,2770834,2777300,4731668,30,6,1000,0,0,0,Who ate Depays
7,54,402,2532384,2543571,4101967,25,6,1002,0,0,13,Who ate Depays
8,25,427,9236760,9239426,4955835,90,0,1004,2,0,14,Who ate Depays
9,51,478,6730663,6734866,5193756,65,1,1005,2,0,10,Who ate Depays
10,42,520,3914402,3926669,4969772,40,1,1006,0,0,8,Who ate Depays
11,33,553,9578009,9579411,5747940,90,11,1006,2,0,13,Who ate Depays
12,23,576,10460978,10462503,6780476,100,11,1009,0,0,3,Who ate Depays
13,59,635,5612579,5617583,6640786,55,9,1008,1,0,8,Who ate Depays
14,47,682,8421312,8427623,6930359,80,9,1005,0,0,0,Who ate Depays
15,50,732,5660286,5664673,6932462,55,11,1002,2,0,1,Who ate Depays
16,38,770,8433258,8441920,7150451,80,11,1001,0,0,8,Who ate Depays
17,58,828,6031409,6033479,6976350,60,14,1001,2,0,6,Who ate Depays
18,50,878,6146969,6153566,6865693,60,14,1004,0,0,0,Who ate Depays
19,61,939,7024346,7026900,6872050,65,7,1004,2,0,10,Who ate Depays
20,66,1005,3876017,3881239,6700697,40,3,1006,2,0,21,Who ate Depays
21,53,1058,6059477,6063487,6674752,55,6,1006,1,0,18,Who ate Depays
22,61,1115,1193249,1195022,6431765,15,11,1011,2,4,4,Who ate Depays
23,56,1167,7316176,7322508,6601288,70,36,1016,2,4,20,Who ate Depays
24,117,1284,2372028,2376863,5888398,25,8,1011,1,0,8,Who ate Depays
25,107,1391,454647,456217,5364271,5,8,1012,0,0,4,Who ate Depays
26,67,1458,5233183,5239703,5363192,50,8,1010,0,0,19,Who ate Depays
27,50,1508,7375185,7385189,5415202,70,10,1011,1,0,13,Who ate Depays
28,59,1567,4146130,4161360,5386512,40,10,1011,0,0,9,Who ate Depays
29,51,1618,2824604,2831345,5203301,25,10,1010,0,0,23,Who ate Depays
30,49,1667,4300070,4305373,5154777,40,33,1009,2,0,8,Who ate Depays
31,24,1691,9563589,9565177,5276889,85,50,1005,2,0,3,Who ate Depays
32,68,1759,2997713,3004254,5109611,30,50,1005,0,0,12,Who ate Depays
33,52,1811,6633615,6642988,5160810,60,42,1004,0,0,14,Who ate Depays
34,65,1876,2116842,2117726,4938402,20,33,1006,4,0,24,Who ate Depays
35,58,1934,831532,835705,4727083,10,41,1007,1,0,7,Who ate Depays
36,46,1980,4273564,4287573,4685643,40,41,1009,0,0,4,Who ate Depays
37,44,2024,3883321,3897813,4637209,35,41,1008,0,0,6,Who ate Depays
38,56,2080,2589670,2598604,4546864,25,52,1001,0,0,6,Who ate Depays
1,67,67,1950328,1970647,1950328,25,0,1000,0,0,8,Change Name
2,85,136,1607641,1607715,3056714,20,0,1000,5,16,11,Change Name
3,58,190,6926370,6928643,4633460,70,0,1004,2,4,10,Change Name
4,26,216,9964535,9965403,6487444,100,0,1005,1,0,9,Change Name
5,72,284,1535504,1538186,5679615,15,0,1005,2,4,5,Change Name
6,98,374,44845,44887,2671987,1,0,1007,3,8,9,Change Name
7,49,423,4138136,4144598,2513335,40,1,1010,1,0,11,Change Name
8,34,453,6185395,6189769,3089292,60,1,1009,2,4,9,Change Name
9,80,529,192965,194023,1934884,5,3,1011,2,4,11,Change Name
10,69,594,85204,85781,947011,1,0,1012,2,4,7,Change Name
11,63,653,1865594,1869081,883020,20,4,1017,2,4,14,Change Name
12,88,741,59421,59752,287260,1,4,1020,0,0,5,Change Name
13,70,811,3066309,3071318,340549,30,4,1023,0,0,4,Change Name
14,81,892,674206,676227,191206,10,4,1026,0,0,2,Change Name
15,61,953,2517138,2523911,160178,25,4,1025,0,0,1,Change Name
16,54,1007,2979004,2987082,155626,30,4,1026,0,0,5,Change Name
17,74,1081,3209176,3213044,204044,30,4,1029,0,0,8,Change Name
18,61,1142,3096606,3101921,225498,30,4,1030,0,0,3,Change Name
19,68,1210,5137477,5143814,313836,50,4,1031,0,0,6,Change Name
20,63,1273,4478984,4486218,351574,45,4,1031,0,0,1,Change Name
21,60,1333,4289284,4295743,443185,40,4,1032,0,0,4,Change Name
22,43,1376,6332699,6345004,494246,60,4,1028,0,0,12,Change Name
23,55,1431,7393744,7404383,581427,70,4,1026,0,0,4,Change Name
24,98,1529,5084899,5087462,869662,50,4,1024,0,0,3,Change Name
25,99,1628,1226209,1229019,752322,15,4,1022,0,0,4,Change Name
26,69,1697,4762694,4767995,878012,45,4,1019,0,0,3,Change Name
27,46,1743,8622870,8630975,1023856,80,4,1020,0,0,1,Change Name
28,54,1797,5842575,5852723,1132049,55,4,1021,0,0,2,Change Name
29,17,1814,10625987,10628842,1645821,95,4,1017,0,0,0,Change Name
30,36,1850,8695134,8700575,1885221,80,4,1015,0,0,6,Change Name
31,31,1881,6522895,6532590,2002730,60,4,1014,0,0,2,Change Name
32,34,1915,10076709,10079209,2578732,90,4,1011,0,0,7,Change Name
33,67,1982,2839920,2846304,2494813,25,4,1008,0,0,-2,Change Name
34,61,2043,2512894,2516465,2404425,25,4,1012,0,0,8,Change Name
35,34,2077,8681897,8691637,2555814,80,4,1012,0,0,9,Change Name
36,32,2109,9194976,9201283,2770855,85,4,1012,0,0,13,Change Name
37,19,2128,10975961,10977677,3147318,100,4,1010,0,0,6,Change Name
38,50,2178,4202128,4211020,3164789,40,4,1007,0,0,-2,Change Name
1,57,57,4384115,4491933,4384115,55,0,1000,0,0,7,Drinkwater not koke
2,62,119,6565182,6596191,5545227,70,0,1001,1,0,7,Drinkwater not koke
3,61,172,6351907,6356544,6143551,65,4,1003,3,8,3,Drinkwater not koke
4,63,235,1847996,1867941,5050294,20,10,1001,1,0,13,Drinkwater not koke
5,60,295,4415779,4469074,4866297,45,0,1005,0,0,8,Drinkwater not koke
6,75,370,858723,872554,2955218,10,0,1006,0,0,4,Drinkwater not koke
7,34,404,8962496,8982282,3947770,90,0,1005,1,0,8,Drinkwater not koke
8,55,459,650784,661150,2620718,10,0,1006,1,0,11,Drinkwater not koke
9,75,534,512245,521942,1643215,5,4,1011,2,0,13,Drinkwater not koke
10,52,586,1394781,1413941,1245513,15,4,1017,1,0,12,Drinkwater not koke
11,74,660,500809,508388,684261,5,0,1020,1,0,1,Drinkwater not koke
12,58,718,2887853,2922108,680495,30,0,1021,0,0,5,Drinkwater not koke
13,73,791,2595220,2613853,658498,25,6,1018,1,0,10,Drinkwater not koke
14,65,852,3707309,3714667,761687,35,32,1017,3,4,6,Drinkwater not koke
15,59,911,3124315,3145920,674175,30,13,1019,1,0,0,Drinkwater not koke
16,51,962,4151464,4186374,691520,40,9,1022,1,0,8,Drinkwater not koke
17,78,1040,2601345,2623676,691120,25,10,1024,1,0,13,Drinkwater not koke
18,54,1082,5378412,5381390,1070855,50,3,1027,4,12,13,Drinkwater not koke
